action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;0.735000134;0.903999805;0.888999939;0.85800004;0.85800004
Press DOWN;0.062999964;0.063999891;0.063000202;0.078000069;0.062999964;0.139999866
Press ENTER + wait menu;0.893000126;0.947000027;1.217000008;1.529000044;1.200999975;1.123000145
Paste Filepath ;0.062999964;0.055999994;0.139999866;0.139999866;0.062000036;0.07799983
Click Open + wait opened file;2.388000011;3.295000076;4.026000023;4.129000187;3.255000114;3.249000072
Click page counter;0.763000011;0.93599987;0.851000071;0.879999876;0.89199996;0.870000124
Delete actual number;0.062999964;0.0400002;0.062999964;0.062000036;0.049000025;0.162999868
Enter wanted page number;0.062000036;0.0400002;0.078000069;0.062000036;0.06799984;0.042000055
ENTER + wait wanted page ;0.217999935;0.236999989;0.233999968;0.234000206;0.25;0.33100009
Click toggle fullscreen + wait full;1.572000027;1.421999931;1.833999872;1.561999798;1.79700017;1.547999859
Click reduce screen + wait reduced;0.795000076;0.835999966;0.838000059;0.870000124;0.986999989;1.09100008
Click move control out of toolbar;1.403000116;1.696000099;1.63499999;1.602999926;1.853999853;1.611999989
Click pin control bar to toolbar;1.217000008;1.282999992;1.309999943;1.351999998;1.400000095;1.333999872
Click comment button + position + wait box;2.819999933;1.815000057;1.789000034;2.532000065;3.014999866;1.825999975
Paste comment text;0.062000036;0.042000055;0.062000036;0.078000069;0.062000036;0.078000069
Click publish + wait written note;1.66899991;0.89199996;2.013000011;1.371999979;0.920000076;0.842000008
CTRL + F;0.929000139;1.111000061;1.092000008;1.18599987;1.154999971;1.061000109
Delete actual word;0.062000036;0.064999819;0.139999866;0.108999968;0.062000036;0.07799983
Paste word to search;0.061999798;0.082001717;0.078000069;0.063002022;0.125;0.094001011
Click Search;1.434999943;0.772000074;0.779999971;0.779999971;0.85800004;0.888999939
Close Search ;1.685000181;1.785000086;1.654000044;2.355000019;2.309000015;1.861999989
Set fit to page view;1.996999979;0.893999815;0.936000109;0.93599987;0.904999971;0.873000145
Set fit to width view;1.013999939;1.130000114;1.153999805;1.623000145;1.075999975;1.138999939
Select desired text;2.292999983;2.280999899;2.418000221;2.323999882;2.375;2.480999947
Click Mark Text Button;0.796000004;0.913000107;0.826999903;0.811000109;0.888999939;0.873000145
Click page counter;0.763999939;0.739000082;0.811000109;0.873999834;0.812000036;0.779999971
Delete actual number;0.062000036;0.039999962;0.062999964;0.093000174;0.062000036;0.062999964
Enter wanted page number;0.061999798;0.040999889;0.062000036;0.062999964;0.062000036;0.062000036
ENTER + wait wanted page ;0.233999968;0.138000011;0.171999931;0.155999899;0.141000032;0.155999899
Click page counter;0.779999971;0.735000134;0.842000008;0.779999971;0.763999939;0.772000074
Delete actual number;0.062000036;0.039999962;0.108999968;0.062000036;0.062999964;0.187999964
Enter wanted page number;0.062000036;0.040999889;0.108999968;0.062999964;0.108999968;0.078000069
ENTER + wait wanted page ;0.236000061;0.213999987;0.171999931;0.187000036;0.249000072;0.155999899
Click Close Button;0.872999907;0.942000151;0.952000141;0.967000008;0.904999971;0.920000076
Select DON'T SAVE;1.56799984;1.592000008;1.575000048;1.732000113;1.730999947;1.590999842
