action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;0.850999832;0.854000092;0.849999905;0.86500001;0.846999884
Click OPEN MULTIPLE FILES option;2.162999868;2.1650002;2.148999929;2.160000086;2.151000023;2.126000166
Click ADD button;1.49000001;1.510999918;1.503999949;1.487999916;1.55099988;1.481999874
Paste File 1 path;0.040999889;0.040999889;0.041000128;0.040999889;0.041000128;0.041000128
Click OPEN ;2.787000179;2.35800004;2.848999977;2.336000204;2.814999819;2.786999941
Click ADD button;1.682999849;1.673000097;1.699999809;1.674000025;1.690000057;1.667999983
Paste File 2  path;0.041000128;0.040999889;0.0400002;0.040999889;0.041000128;0.040999889
Click OPEN ;2.996000051;3.052000046;3.049000025;3.046000004;3.040999889;3.023000002
Click ADD button;1.49000001;1.500999928;1.50999999;1.494999886;1.5;1.509000063
Paste File 3 path;0.041000128;0.044000149;0.039999962;0.042000055;0.042000055;0.041000128
Click OPEN ;2.95600009;2.332999945;3.039999962;2.348999977;3.062999964;3.020999908
Click PLAY;1.519000053;1.437999964;1.479000092;1.501000166;1.486000061;1.510999918
Click PAUSE button;0.931999922;0.930999994;1.386999846;0.924999952;1.407999992;0.910000086
Click SUBTITLES option;0.753999949;0.756999969;0.753000021;0.753000021;0.751999855;0.75
Hover mouse to EDIT SUBTITLES;0.534000158;0.529000044;0.531000137;0.53399992;0.534000158;0.529000044
Click DISABLE SUBTITLES;1.646999836;1.653000116;1.642999887;1.654000044;1.671999931;1.64199996
Click PLAY button;0.936000109;0.92599988;0.921999931;0.928999901;0.931999922;0.934999943
Click SUBTITLES option;0.798000097;0.821000099;0.810000181;0.835000038;0.805999994;0.825999975
Click ADD SUBTITLES option;2.495999813;1.770999908;1.733999968;1.880000114;2.611999989;1.795000076
Paste subtitles filepath;0.048000097;0.040999889;0.040999889;0.042999983;0.044000149;0.042999983
Click OPEN button;1.71600008;1.626000166;1.625;1.632999897;2.046999931;1.58100009
Click PLAYBACK button;1.195000172;2.118999958;1.088000059;2.226999998;1.016000032;1.020999908
Click Play From a Specific time option;1.907000065;1.030999899;1.833999872;1.898000002;1.885999918;1.019999981
Click time window (gain focus);0.865999937;0.851000071;0.927000046;0.81400013;0.818000078;1.01699996
Paste given time;0.040999889;0.054000139;0.067000151;0.082000017;0.052999973;0.084000111
Click GO button;3.480999947;3.51699996;3.619999886;3.503999949;3.687000036;3.764999866
Click STOP button;1.562999964;1.539999962;1.611000061;1.741999865;1.904000044;1.60800004
Click VIEW option;1.007000208;1.009000063;1.006999969;1.006999969;1.004999876;0.999000072
Click PLAYLIST option;1.606999874;0.777999878;0.773000002;1.60800004;0.778000116;1.605999947
RIGHT CLICK;1.449999809;1.457999945;1.460000038;1.445999861;0.748999834;0.749000072
Click SAVE PLAYLIST option;1.649000168;1.670000076;1.690999985;1.647000074;1.670000076;1.642999887
Paste output playlist path;0.039999962;0.040999889;0.042000055;0.040999889;0.041000128;0.042000055
Confirm save playlist;1.476999998;1.501000166;1.494999886;1.49000001;1.485999823;1.483999968
Confirm overwrite playlist;1.352999926;1.366999865;1.35800004;1.360000134;1.357000113;1.345000029
RIGHT CLICK;0.737999916;0.736000061;0.736999989;0.905999899;0.736999989;0.736000061
Click CLEAR PLAYLIST option;0.781000137;0.779999971;0.779000044;0.78399992;0.779999971;0.779000044
Close playlist ;0.732999802;0.738000154;0.753999949;0.781000137;0.743999958;0.745999813
