action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;0.923000097;0.932999849;0.881999969;0.86500001;0.911000013
Click OPEN MULTIPLE FILES option;2.162999868;0.929999828;0.904999971;1.030999899;1.049999952;2.505999804
Click ADD button;1.49000001;1.765000105;1.693000078;1.802000046;1.740999937;1.710999966
Paste File 1 path;0.040999889;0.076999903;0.09800005;0.044000149;0.053999901;0.043000221
Click OPEN ;2.787000179;3.322000027;2.631999969;2.3349998;2.350000143;3.315999985
Click ADD button;1.682999849;1.865999937;1.874000072;1.864000082;1.976999998;1.911999941
Paste File 2  path;0.041000128;0.052000046;0.041999817;0.115999937;0.098999977;0.075000048
Click OPEN ;2.996000051;3.611000061;1.832000017;2.67200017;2.415999889;3.52699995
Click ADD button;1.49000001;1.710999966;1.698000193;1.784999847;1.73300004;1.816999912
Paste File 3 path;0.041000128;0.054000139;0.046000004;0.041000128;0.045000076;0.045000076
Click OPEN ;2.95600009;3.39199996;1.823999882;3.809999943;2.693000078;3.628999949
Click PLAY;1.519000053;2.190999985;1.746999979;1.969000101;1.741999865;2.383000135
Click PAUSE button;0.931999922;1.588999987;1.125999928;1.82799983;0.957999945;0.926999807
Click SUBTITLES option;0.753999949;0.756999969;0.765000105;0.860000134;0.758000135;0.75999999
Hover mouse to EDIT SUBTITLES;0.534000158;0.532000065;0.552000046;0.536999941;0.532000065;0.541000128
Click DISABLE SUBTITLES;1.646999836;1.852999926;1.773000002;1.861999989;1.455999851;1.786000013
Click PLAY button;0.936000109;1.092000008;0.984999895;1.006000042;1.087000132;0.93599987
Click SUBTITLES option;0.798000097;0.976999998;0.851000071;0.937999964;0.968999863;0.898000002
Click ADD SUBTITLES option;2.495999813;3.213999987;2.897000074;3.48300004;2.944000006;2.848999977
Paste subtitles filepath;0.048000097;0.180999994;0.128999949;0.220999956;0.147000074;0.263999939
Click OPEN button;1.71600008;2.292999983;2.303999901;3.607000113;2.470999956;2.469000101
Click PLAYBACK button;1.195000172;1.332999945;1.499000072;1.098999977;1.502000093;1.687999964
Click Play From a Specific time option;1.907000065;1.213000059;1.364000082;0.794999838;1.125;1.190000057
Click time window (gain focus);0.865999937;1.084000111;0.993000031;0.936000109;0.901000023;1.16899991
Paste given time;0.040999889;0.093999863;0.145999908;0.141000032;0.149999857;0.078000069
Click GO button;3.480999947;5.118999958;4.84100008;5.148000002;5.577000141;4.930999994
Click STOP button;1.562999964;1.853000164;1.676999807;1.836999893;2.145999908;2.069000006
Click VIEW option;1.007000208;1.101999998;1.141000032;1.138000011;1.144000053;1.138999939
Click PLAYLIST option;1.606999874;0.825999975;0.86500001;0.870000124;0.842999935;0.838000059
RIGHT CLICK;1.449999809;0.789999962;0.825999975;0.805999994;0.879000187;0.801999807
Click SAVE PLAYLIST option;1.649000168;1.927999973;1.914999962;1.937000036;1.994999886;2.001000166
Paste output playlist path;0.039999962;0.082000017;0.129000187;0.121999979;0.051000118;0.040999889
Confirm save playlist;1.476999998;0.805000067;0.787999868;0.804999828;0.815999985;0.798000097
Confirm overwrite playlist;1.352999926;1.508999825;1.478000164;1.611999989;1.576999903;1.532999992
RIGHT CLICK;0.737999916;0.755000114;0.761999846;0.80700016;0.808000088;0.796000004
Click CLEAR PLAYLIST option;0.781000137;0.789000034;0.855999947;0.806999922;0.80099988;0.84800005
Close playlist ;0.732999802;1.243999958;0.950000048;1.173000097;0.977999926;1.06099987
