action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;1.028000116;0.915999889;0.927999973;0.955999851;0.973999977
Click OPEN MULTIPLE FILES option;2.162999868;1.036999941;1.039000034;0.953999996;0.980000019;1.078000069
Click ADD button;1.49000001;2.046000004;2;1.861999989;1.875;2.082000017
Paste File 1 path;0.040999889;0.080999851;0.101999998;0.200999975;0.127000093;0.15899992
Click OPEN ;2.787000179;3.950000048;3.911999941;2.309999943;3.163000107;2.81400013
Click ADD button;1.682999849;2.207999945;2.190000057;2.163000107;2.092999935;2.129999876
Paste File 2  path;0.041000128;0.114000082;0.098999977;0.039999962;0.042999983;0.169000149
Click OPEN ;2.996000051;3.112999916;3.261000156;3.896000147;3.40199995;3.218999863
Click ADD button;1.49000001;1.958000183;2.107999802;2.034999847;1.723999977;1.950999975
Paste File 3 path;0.041000128;0.109999895;0.070000172;0.114000082;0.118999958;0.101000071
Click OPEN ;2.95600009;4.10800004;4.205999851;2.759000063;3.452000141;3.003999949
Click PLAY;1.519000053;2.769999981;3.366000175;2.404999971;3.307999849;2.486999989
Click PAUSE button;0.931999922;1.092000008;1.041999817;1.629999876;6.152000189;1.078999996
Click SUBTITLES option;0.753999949;0.770999908;0.815999985;0.789999962;0.889999866;0.879999876
Hover mouse to EDIT SUBTITLES;0.534000158;0.532000065;0.546000004;0.5400002;0.532999992;0.620000124
Click DISABLE SUBTITLES;1.646999836;1.976999998;1.680000067;1.725999832;1.847000122;2.181999922
Click PLAY button;0.936000109;1.079999924;0.993000031;1.034000158;0.993000031;1.204999924
Click SUBTITLES option;0.798000097;1.2900002;1.115999937;0.974999905;1.025999784;1.746999979
Click ADD SUBTITLES option;2.495999813;3.278999805;4.225000143;3.045000076;3.396000147;6.671000004
Paste subtitles filepath;0.048000097;0.225000143;0.113999844;0.125;0.345000029;0.308000088
Click OPEN button;1.71600008;3.296000004;2.851999998;2.74000001;3.741999865;1.82400012
Click PLAYBACK button;1.195000172;1.369999886;1.148000002;1.825999975;2.378000021;2.413999796
Click Play From a Specific time option;1.907000065;0.904999971;0.811000109;0.934999943;2.955000162;1.377000093
Click time window (gain focus);0.865999937;1.028000116;1.338999987;1.151000023;1.523999929;0.924999952
Paste given time;0.040999889;0.065999985;0.142999887;0.121999979;0.148999929;0.11500001
Click GO button;3.480999947;1.704999924;5.889000177;1.460999966;5.735000134;2.302999973
Click STOP button;1.562999964;2.834000111;2.403999805;2.269000053;4.046999931;2.590000153
Click VIEW option;1.007000208;1.22300005;1.15500021;1.309999943;1.234000206;1.217000008
Click PLAYLIST option;1.606999874;1.005000114;0.90199995;0.844000101;0.863999844;0.867999792
RIGHT CLICK;1.449999809;0.822000027;0.881999969;0.847999811;0.83100009;1.038000107
Click SAVE PLAYLIST option;1.649000168;2.292999983;0.967000008;2.224000216;1.971999884;1.142999887
Paste output playlist path;0.039999962;0.086999893;0.14199996;0.06799984;0.046000004;0.099000216
Confirm save playlist;1.476999998;0.858999968;0.796000004;0.844000101;0.861000061;0.845999956
Confirm overwrite playlist;1.352999926;1.522000074;1.719000101;1.542999983;1.532999992;1.750999928
RIGHT CLICK;0.737999916;0.867000103;0.786000013;0.799999952;0.796999931;0.862999916
Click CLEAR PLAYLIST option;0.781000137;0.839999914;0.889999866;0.838999987;1.011000156;0.963999987
Close playlist ;0.732999802;1.583999872;1.49000001;0.964999914;1.088000059;1.667000055
