action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click MEDIA Button;0.857000113;1.208999872;1.059000015;1.114000082;0.920000076;1.095999956
Click OPEN MULTIPLE FILES option;2.162999868;3.368000031;1.111999989;1.195999861;1.004999876;1.08100009
Click ADD button;1.49000001;2.756999969;2.781999826;2.789999962;3.370000124;3.055999994
Paste File 1 path;0.040999889;0.202000141;0.166000128;0.150000095;0.044999838;0.101999998
Click OPEN ;2.787000179;2.146999836;3.980999947;4.470999956;4.025000095;4.363999844
Click ADD button;1.682999849;2.992000103;3.042999983;3.157999992;2.839999914;3.167000055
Paste File 2  path;0.041000128;0.078000069;0.117000103;0.273000002;0.055000067;0.107000113
Click OPEN ;2.996000051;3.470000029;4.504999876;4.85800004;4.325000048;4.631999969
Click ADD button;1.49000001;2.786999941;2.768000126;3.092000008;2.585000038;2.871999979
Paste File 3 path;0.041000128;0.116999865;0.039999962;0.253000021;0.13499999;0.040999889
Click OPEN ;2.95600009;5.063000202;4.806999922;4.842999935;4.754999876;4.332000017
Click PLAY;1.519000053;4.379999876;4.407000065;4.003999949;11.41000009;3.373000145
Click PAUSE button;0.931999922;5.444000006;11.96600008;6.25;4.069999933;8.411999941
Click SUBTITLES option;0.753999949;0.786999941;0.819000006;0.961000204;1.25999999;0.882999897
Hover mouse to EDIT SUBTITLES;0.534000158;0.548000097;0.537999868;0.575999975;1.039999962;0.533000231
Click DISABLE SUBTITLES;1.646999836;2.348999977;2.079999924;1.994999886;2.134000063;1.674999952
Click PLAY button;0.936000109;1.239000082;1.179000139;1.292999983;1.529999971;1.108999968
Click SUBTITLES option;0.798000097;1.090999842;0.920000076;1.407000065;1.077000141;1.194000006
Click ADD SUBTITLES option;2.495999813;8.743000031;5.661999941;5.467000008;6.482999802;6.43900013
Paste subtitles filepath;0.048000097;0.059999943;0.11500001;0.181999922;0.261000156;0.130999804
Click OPEN button;1.71600008;3.634000063;3.135999918;3.625;3.986000061;3.129000187
Click PLAYBACK button;1.195000172;1.383000135;1.273999929;1.267999887;1.69299984;1.332999945
Click Play From a Specific time option;1.907000065;1.203999996;1.198000193;1.265000105;2.742000103;2.747999907
Click time window (gain focus);0.865999937;1.184000015;1.274999857;1.40199995;1.986000061;0.957999945
Paste given time;0.040999889;0.38499999;0.319999933;0.046000004;0.280999899;0.148000002
Click GO button;3.480999947;2.757999897;2.205000162;2.226000071;3.015000105;2.032000065
Click STOP button;1.562999964;3.654999971;2.395999908;3.016000032;5.118999958;3.881000042
Click VIEW option;1.007000208;1.376000166;1.373000145;1.381999969;2.008999825;1.387000084
Click PLAYLIST option;1.606999874;1.024999857;1.010999918;0.983999968;2.850000143;0.990999937
RIGHT CLICK;1.449999809;1.004000187;0.986999989;0.976000071;1.332999945;2.164999962
Click SAVE PLAYLIST option;1.649000168;3.130999804;2.756000042;2.832000017;4.025000095;3.085000038
Paste output playlist path;0.039999962;0.157000065;0.184000015;0.107999802;0.111999989;0.171000004
Confirm save playlist;1.476999998;2.302999973;2.360999823;2.180000067;3.609999895;2.075999975
Confirm overwrite playlist;1.352999926;2.036999941;1.979000092;2.015000105;2.100000143;1.972000122
RIGHT CLICK;0.737999916;1.129000187;0.865999937;0.902999878;1.088999987;0.977999926
Click CLEAR PLAYLIST option;0.781000137;0.944999933;0.998000145;0.995000124;1.211999893;1.075999975
Close playlist ;0.732999802;1.434000015;1.184999943;1.578999996;1.167000055;1.736000061
