action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click MEDIA Button;0.857000113;0.944000006;0.942000151;0.917999983;1.082000017;0.980000019
Click OPEN MULTIPLE FILES option;2.162999868;0.917999983;2.51699996;1.019000053;2.575999975;2.468999863
Click ADD button;1.49000001;2.572999954;2.238999844;2.299999952;2.556999922;2.296999931
Paste File 1 path;0.040999889;0.080000162;0.052000046;0.153000116;0.190999985;0.129000187
Click OPEN ;2.787000179;3.319000006;3.475000143;1.727999926;3.436000109;3.437999964
Click ADD button;1.682999849;2.508999825;2.881999969;3.045000076;3.072000027;2.693000078
Paste File 2  path;0.041000128;0.105000019;0.05099988;0.071000099;0.121000051;0.164999962
Click OPEN ;2.996000051;3.667000055;3.614000082;3.655999899;2.704999924;3.664999962
Click ADD button;1.49000001;2.019000053;2.538000107;2.631999969;2.201999903;2.796000004
Paste File 3 path;0.041000128;0.17599988;0.081999779;0.099999905;0.041000128;0.046000004
Click OPEN ;2.95600009;3.81400013;3.493000031;2.953000069;2.072999954;3.552000046
Click PLAY;1.519000053;2.684999943;2.565999985;2.648000002;2.618000031;2.788999796
Click PAUSE button;0.931999922;1.453000069;1.71600008;0.953999996;1.756999969;1.066000223
Click SUBTITLES option;0.753999949;0.819999933;0.815000057;0.756000042;0.828000069;0.815999985
Hover mouse to EDIT SUBTITLES;0.534000158;0.531000137;0.532000065;0.529999971;0.538999796;0.534999847
Click DISABLE SUBTITLES;1.646999836;1.744999886;1.791999817;1.802000046;1.843000174;1.911999941
Click PLAY button;0.936000109;1.036999941;1.157000065;0.937000036;0.98300004;1.09800005
Click SUBTITLES option;0.798000097;0.921000004;0.832000017;1.029000044;0.81099987;0.993000031
Click ADD SUBTITLES option;2.495999813;4.311000109;4.924000025;5.166999817;5.102999926;6.639999866
Paste subtitles filepath;0.048000097;0.266000032;0.266000032;0.259000063;0.19900012;0.213000059
Click OPEN button;1.71600008;3.494999886;3.348999977;3.032000065;3.269999981;2.986999989
Click PLAYBACK button;1.195000172;1.186000109;0.937000036;1.062999964;0.977999926;1.002000093
Click Play From a Specific time option;1.907000065;2.261999846;1.330999851;2.101000071;2.386000156;1.057999849
Click time window (gain focus);0.865999937;0.995000124;0.934000015;0.856999874;0.988999844;0.873000145
Paste given time;0.040999889;0.072000027;0.042000055;0.049000025;0.06400013;0.065999985
Click GO button;3.480999947;5.743000031;1.572000027;5.375;4.601000071;5.325000048
Click STOP button;1.562999964;2.041999817;2.320999861;2.447999954;1.813999891;2.059000015
Click VIEW option;1.007000208;1.205000162;1.186000109;1.09800005;1.193000078;1.743999958
Click PLAYLIST option;1.606999874;0.803999901;0.911999941;0.852999926;0.861999989;1.832999945
RIGHT CLICK;1.449999809;1.588999987;0.785000086;0.812000036;0.823999882;0.849999905
Click SAVE PLAYLIST option;1.649000168;2.368999958;2.460000038;2.486000061;2.59100008;2.486000061
Paste output playlist path;0.039999962;0.108999968;0.138000011;0.072999954;0.115999937;0.114000082
Confirm save playlist;1.476999998;1.914000034;1.687999964;1.659000158;0.976999998;1.836999893
Confirm overwrite playlist;1.352999926;1.67200017;1.562999964;1.663999796;1.690999985;1.595999956
RIGHT CLICK;0.737999916;0.840999842;0.779000044;0.759000063;0.832000017;0.755000114
Click CLEAR PLAYLIST option;0.781000137;0.840000153;0.815999985;0.809999943;0.828999996;0.826999903
Close playlist ;0.732999802;1.176999807;1.178999901;1.183000088;1.311000109;1.130000114
