action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;0.855000019;0.859999895;0.851999998;0.854999781;0.852999926
Click OPEN MULTIPLE FILES option;2.162999868;2.157000065;2.202000141;2.154999971;2.198000193;2.137000084
Click ADD button;1.49000001;1.522000074;1.547999859;1.503000021;1.552999973;1.506999969
Paste File 1 path;0.040999889;0.040999889;0.039999962;0.041000128;0.040999889;0.040999889
Click OPEN ;2.787000179;2.82400012;2.903000116;2.832999945;2.881999969;2.826000214
Click ADD button;1.682999849;1.678999901;1.737999916;1.667999983;1.736999989;1.67599988
Paste File 2  path;0.041000128;0.041000128;0.042000055;0.039999962;0.041000128;0.040999889
Click OPEN ;2.996000051;3.039999962;3.108999968;3.031000137;3.065000057;3.023000002
Click ADD button;1.49000001;1.517999887;1.541000128;1.501999855;1.536999941;1.515000105
Paste File 3 path;0.041000128;0.042000055;0.042999983;0.039999962;0.042000055;0.042000055
Click OPEN ;2.95600009;3.069999933;3.118999958;3.036000013;3.086999893;3.03399992
Click PLAY;1.519000053;1.482000113;1.558000088;1.527000189;1.535000086;1.503000021
Click PAUSE button;0.931999922;0.921000004;0.963999987;1.416999817;1.460999966;0.917999983
Click SUBTITLES option;0.753999949;0.753999949;0.753999949;0.758000135;0.761000156;0.756000042
Hover mouse to EDIT SUBTITLES;0.534000158;0.532999992;0.532000065;0.542999983;0.53399992;0.542999983
Click DISABLE SUBTITLES;1.646999836;1.655999899;1.674999952;1.667000055;1.67599988;1.654000044
Click PLAY button;0.936000109;0.92200017;0.958999872;0.926999807;0.938000202;0.921000004
Click SUBTITLES option;0.798000097;0.948999882;0.923000097;0.924000025;0.922999859;0.878999949
Click ADD SUBTITLES option;2.495999813;2.774000168;2.309000015;2.023000002;2.868000031;3.61500001
Paste subtitles filepath;0.048000097;0.041999817;0.047999859;0.042000055;0.062999964;0.085000038
Click OPEN button;1.71600008;1.741000175;2.137000084;1.921000004;2.631000042;1.684999943
Click PLAYBACK button;1.195000172;1.199999809;1.288000107;1.209000111;1.082999945;1.239000082
Click Play From a Specific time option;1.907000065;1.323000193;1.407999992;2.359999895;2.055999994;1.19299984
Click time window (gain focus);0.865999937;0.880999804;0.947999954;1.09800005;0.82400012;1.004000187
Paste given time;0.040999889;0.055999994;0.039999962;0.047999859;0.039999962;0.044999838
Click GO button;3.480999947;3.763000011;3.757999897;3.644999981;3.879999876;3.789999962
Click STOP button;1.562999964;1.93900013;2.096000195;2.055000067;2.160000086;1.839000225
Click VIEW option;1.007000208;1.013000011;1.023999929;1.00999999;1.03399992;1.011999846
Click PLAYLIST option;1.606999874;0.779000044;0.779999971;0.789000034;1.644999981;0.778000116
RIGHT CLICK;1.449999809;1.449999809;1.486999989;1.447000027;1.474000216;1.464999914
Click SAVE PLAYLIST option;1.649000168;1.664000034;1.921000004;1.655999899;1.7099998;1.664999962
Paste output playlist path;0.039999962;0.042000055;0.042000055;0.042000055;0.041000128;0.041000128
Confirm save playlist;1.476999998;1.496000051;1.546000004;1.496999979;1.63499999;1.490999937
Confirm overwrite playlist;1.352999926;1.359999895;1.42599988;1.36500001;1.379999876;1.365999937
RIGHT CLICK;0.737999916;0.738000154;0.738000154;0.74000001;0.738000154;0.739000082
Click CLEAR PLAYLIST option;0.781000137;0.781999826;0.786999941;0.791000128;0.78399992;0.782000065
Close playlist ;0.732999802;0.732000113;0.760999918;0.730999947;0.778000116;0.766000032
