action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;2.557999849;2.57400012;2.434000015;2.465000153;2.52699995
Paste Path;0.042999983;0.062000036;0.062000036;0.062000036;0.062999964;0.062000036
Click OPEN Button;4.871999979;5.335000038;5.049999952;5.302000046;5.141000032;5.291000128
CTRL + R;1.28399992;1.295000076;1.31099987;1.31099987;1.279999971;1.29399991
Click inpercentuale;0.757999897;0.796000004;0.779999971;0.779999971;0.794999838;0.796000004
Delete Value;0.062000036;0.07799983;0.078000069;0.078000069;0.078000069;0.078000069
Paste New Value;0.041000128;0.062000036;0.078000069;0.062000036;0.078000069;0.062000036
Click Ok;4.671000004;4.746999979;5.404999971;4.879999876;6.027999878;4.819999933
Click FORME Button;0.753999949;0.763999939;0.779999971;0.764999866;0.764999866;0.779999971
Select Begin - End;3.746999979;4.587000132;3.68599987;3.809000015;3.588000059;3.90199995
Click IMMAGINE Button;0.777999878;0.796000004;0.81099987;0.796000004;0.779999971;0.779999971
Click ROTATE IMAGE;5.947000027;6.357999802;6.302000046;5.687000036;8.980999947;8.898000002
Revert rotation effect;6.447999954;7.700000048;6.900000095;5.911000013;8.351999998;6.67200017
Click REGOLAZIONI button;0.812999964;1.529000044;1.513000011;1.496999979;1.497999907;1.450999975
Click B/N;3.252000093;4.536000013;4.664999962;4.51699996;4.647000074;4.600999832
Click REGOLAZIONI button;0.809000015;1.496999979;1.513000011;1.513999939;1.482000113;1.482000113
Click SEPPIA;1.505000114;2.832000017;4.55099988;4.457000017;2.878999949;4.461999893
Revert B/N effect;1.476999998;1.529999971;1.440000057;1.499000072;2.099999905;1.522000074
Revert SEPPIA effect;3.120999813;3.252000093;3.263000011;3.254999876;3.237999916;3.243999958
Click REGOLAZIONI button;0.827000141;1.513000011;1.513000011;1.513000011;0.843000174;1.513000011
Click INVERTI COLORI option;4.851000071;5.065999985;5.124000072;4.996000051;5.704999924;5.035000086
Revert INVERTI COLORI;5.155999899;4.861999989;4.829999924;4.838000059;4.822999954;4.881000042
Click VISUALIZZA Button;1.651000023;1.66899991;1.684000015;1.66899991;1.653000116;1.700999975
Set Value;0.062000036;0.062999964;0.062999964;0.062000036;0.062999964;0.062000036
Hit ENTER;2.873999834;4.295000076;4.272000074;4.253999949;4.25;4.29399991
CTRL + W;0.441000223;0.904000044;0.874000072;0.904999971;0.842000008;0.967000008
Click NON SALVARE;4.476999998;4.618000031;4.538999796;4.586000204;4.523999929;4.539999962
CTRL + N;0.139999866;0.93599987;0.90500021;0.951999903;0.920000076;0.950999975
Hit ENTER;2.762000084;2.877000093;2.842999935;2.907999992;2.813999891;2.888000011
"Type ""b"" (Select PENNELLO)";0.065999985;0.078000069;0.100999832;0.068000078;0.083000183;0.078000069
Draw First Line;3.67599988;4.866999865;3.694000006;3.699999809;3.680999994;3.720999956
Draw Second Line;4.06099987;4.039999962;4.084000111;4.107000113;4.055999994;4.056999922
Draw Third Line;3.092000008;3.140000105;3.128000021;3.141000032;3.100999832;3.125
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.066999912;0.085000038;0.078000069;0.080000162;0.078999996
Click outer image;3.345000029;3.453999996;3.481999874;3.444999933;3.413999796;3.406000137
Close Image (CTRL + W);0.375;0.888999939;0.904999971;0.872999907;0.889000177;0.920000076
Click NON SALVARE;3.857999802;3.934000015;3.884000063;3.911999941;3.85800004;3.888999939
CTRL + N;0.141000032;0.920000076;0.921000004;0.952000141;0.951999903;0.93599987
Hit ENTER;2.739000082;2.870000124;2.851999998;2.77699995;2.881999969;2.864000082
"Type ""g"" (Select SFUMATURA)";0.068000078;0.078999996;0.082000017;0.079999924;0.08100009;0.062999964
Drag&Drop area;3.207999945;3.56799984;3.5;3.654004387;3.583999872;5.444999933
Close Image (CTRL + W);0.141000032;0.933000088;0.967000008;0.916000128;0.909000158;0.90500021
Click NON SALVARE;3.904999971;3.957000017;3.90199995;3.947999954;3.939999819;3.930999994
