action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;3.431999922;3.416000128;3.758999825;2.917000055;2.760999918
Paste Path;0.042999983;0.139999866;0.141000032;0.17200017;0.125;0.062000036
Click OPEN Button;4.871999979;6.96600008;6.879999876;6.656999826;6.973999977;7.118999958
CTRL + R;1.28399992;0.60800004;1.855999947;0.624000072;1.79399991;1.59100008
Click inpercentuale;0.757999897;0.85800004;0.812000036;0.826999903;0.85800004;1.59100008
Delete Value;0.062000036;0.171999931;0.124000072;0.109000206;0.078000069;0.140000105
Paste New Value;0.041000128;0.125;0.25;0.125;0.062000036;0.062999964
Click Ok;4.671000004;6.888000011;6.774999857;7.128000021;6.932999849;6.757999897
Click FORME Button;0.753999949;1.017000198;0.902999878;0.890000105;0.764999866;0.889999866
Select Begin - End;3.746999979;4.44299984;4.818000078;4.680999994;4.989000082;4.707000017
Click IMMAGINE Button;0.777999878;0.872999907;0.81099987;0.857999802;0.888999939;0.936000109
Click ROTATE IMAGE;5.947000027;8.370000124;8.194000006;8.050000191;8.138999939;7.961999893
Revert rotation effect;6.447999954;8.708999872;9.299999952;8.715999842;8.893000126;9.00999999
Click REGOLAZIONI button;0.812999964;0.920000076;0.85800004;0.85800004;0.889999866;0.85800004
Click B/N;3.252000093;4.715999842;5.876000166;4.357000113;5.447000027;4.799000025
Click REGOLAZIONI button;0.809000015;1.950000048;0.93599987;0.93599987;1.778000116;0.936000109
Click SEPPIA;1.505000114;2.144000053;2.006999969;2.506000042;5.737999916;2.463000059
Revert B/N effect;1.476999998;2.441999912;2.075000048;2.239000082;2.319000006;1.975999832
Revert SEPPIA effect;3.120999813;4.258000135;4.345000029;4.257999897;4.335999966;4.149000168
Click REGOLAZIONI button;0.827000141;0.85800004;0.889999866;0.888999939;0.874000072;0.919999838
Click INVERTI COLORI option;4.851000071;6.398999929;6.593000174;6.74000001;6.463999987;6.467999935
Revert INVERTI COLORI;5.155999899;6.424000025;6.246000051;6.024000168;5.973999977;6.253000021
Click VISUALIZZA Button;1.651000023;1.044999838;1.606999874;1.605999947;2.105999947;2.013000011
Set Value;0.062000036;0.063000202;0.078000069;0.125;0.094000101;0.108999968
Hit ENTER;2.873999834;2.809000015;5.628000021;8.769000053;8.458999872;8.606000185
CTRL + W;0.441000223;1.154999971;0.638999939;1.31099987;8.458999872;1.231999874
Click NON SALVARE;4.476999998;5.708999872;5.569000006;5.569000006;5.319000006;8.89199996
CTRL + N;0.139999866;0.467999935;0.421999931;0.546000004;1.122999907;0.5
Hit ENTER;2.762000084;3.820000172;3.937999964;3.924999952;3.605999947;3.693000078
"Type ""b"" (Select PENNELLO)";0.065999985;0.15899992;0.086000204;0.246999979;0.105999947;0.226000071
Draw First Line;3.67599988;4.115999937;4.188999891;4.239000082;5.315999985;4.274999857
Draw Second Line;4.06099987;4.72300005;4.490999937;4.790999889;6.050000191;4.575000048
Draw Third Line;3.092000008;3.567000151;3.404999971;3.177000046;4.836999893;3.584000111
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.251999855;0.156000137;0.190999985;0.124000072;0.212999821
Click outer image;3.345000029;4.440999985;4.664999962;4.358999968;4.450000048;4.414000034
Close Image (CTRL + W);0.375;1.23300004;1.46600008;1.372000217;1.169999838;0.796000004
Click NON SALVARE;3.857999802;5.025000095;5.18599987;4.712999821;4.656000137;4.702000141
CTRL + N;0.141000032;1.278999805;1.309999943;0.437000036;1.154000044;0.468000174
Hit ENTER;2.739000082;3.853000164;3.54700017;3.815000057;3.541999817;3.378999949
"Type ""g"" (Select SFUMATURA)";0.068000078;0.177999973;0.204999924;0.21600008;0.203000069;0.233999968
Drag&Drop area;3.207999945;4.046999931;3.960000038;3.853999853;3.864000082;3.976000071
Close Image (CTRL + W);0.141000032;0.281000137;1.147000074;0.390000105;0.43599987;0.373999834
Click NON SALVARE;3.904999971;4.747999907;4.922999859;3.32799983;4.854000092;3.486000061
