action;non-instrumented;t1;t2;t3;t4;t5
Click APRI;1.735000134;1.740999937;1.731000185;1.746999979;1.746999979;1.701000214
Paste Path;0.042999983;0.042000055;0.062999964;0.061999798;0.063000202;0.061999798
Click OPEN Button;4.871999979;4.859999895;4.826999903;4.819000006;4.870999813;4.823000193
CTRL + R;1.28399992;1.311000109;0.233999968;0.265000105;0.187000036;0.25
Click inpercentuale;0.757999897;0.755000114;0.796000004;0.796000004;0.796000004;0.794999838
Delete Value;0.062000036;0.055999994;0.078000069;0.078000069;0.078000069;0.078000069
Paste New Value;0.041000128;0.039999962;0.062000036;0.062000036;0.062000036;0.062999964
Click Ok;4.671000004;4.510999918;4.879999876;4.281999826;5.044999838;5.197000027
Click FORME Button;0.753999949;0.747999907;0.779999971;0.763999939;0.779999971;0.764999866
Select Begin - End;3.746999979;3.501000166;3.585999966;3.806999922;3.599999905;3.560000181
Click IMMAGINE Button;0.777999878;0.779999971;0.795000076;0.796000004;0.779999971;0.811000109
Click ROTATE IMAGE;5.947000027;5.735000134;5.911999941;5.371999979;6.065000057;6.154000044
Revert rotation effect;6.447999954;6.335000038;5.585999966;6.391000032;7.026000023;6.694000006
Click REGOLAZIONI button;0.812999964;0.816999912;0.842000008;0.826999903;0.826999903;0.826999903
Click B/N;3.252000093;3.288000107;3.230000019;3.304000139;3.239000082;3.233999968
Click REGOLAZIONI button;0.809000015;0.806999922;0.842999935;0.826999903;0.842999935;0.842999935
Click SEPPIA;1.505000114;1.52699995;1.611000061;1.59800005;1.479000092;1.502000093
Revert B/N effect;1.476999998;1.398999929;1.389999866;1.424000025;1.572999954;1.437999964
Revert SEPPIA effect;3.120999813;3.150000095;3.097000122;3.156999826;3.22300005;3.200000048
Click REGOLAZIONI button;0.827000141;0.808000088;0.842000008;0.843000174;0.842000008;0.842999935
Click INVERTI COLORI option;4.851000071;4.984999895;4.838999987;4.799999952;4.868999958;4.95600009
Revert INVERTI COLORI;5.155999899;4.796999931;4.996999979;4.957000017;5.556999922;4.76699996
Click VISUALIZZA Button;1.651000023;1.640000105;1.652999878;1.669999838;1.685000181;1.654000044
Set Value;0.062000036;0.040999889;0.063000202;0.062000036;0.062000036;0.062000036
Hit ENTER;2.873999834;2.013000011;1.984999895;2.029999971;2.153999805;2.053999901
CTRL + W;0.441000223;0.902000189;0.390000105;0.437000036;0.437000036;0.421000004
Click NON SALVARE;4.476999998;4.417999983;4.414999962;4.430000067;4.462000132;4.384000063
CTRL + N;0.139999866;0.674999952;0.139999866;0.155999899;0.139999866;0.155999899
Hit ENTER;2.762000084;2.747999907;2.718000174;2.752000093;2.680000067;2.73300004
"Type ""b"" (Select PENNELLO)";0.065999985;0.055999994;0.069000006;0.063999891;0.065999985;0.069999933
Draw First Line;3.67599988;3.643000126;3.623999834;3.739000082;3.687000036;3.626000166
Draw Second Line;4.06099987;4.04399991;4.230000019;4.108999968;4.092999935;4.037999868
Draw Third Line;3.092000008;3.079999924;3.052999973;3.085000038;3.111999989;3.09100008
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.061000109;0.07400012;0.072000027;0.069000006;0.062999964
Click outer image;3.345000029;3.371999979;3.312000036;3.362999916;3.371999979;3.351000071
Close Image (CTRL + W);0.375;0.362999916;0.373999834;0.904000044;0.374000072;0.373999834
Click NON SALVARE;3.857999802;3.822000027;3.833000183;3.847000122;3.851999998;3.799000025
CTRL + N;0.141000032;0.662000179;0.140999794;0.141000032;0.141000032;0.140000105
Hit ENTER;2.739000082;2.732999802;2.720000029;2.753999949;2.789000034;2.762000084
"Type ""g"" (Select SFUMATURA)";0.068000078;0.060000181;0.065999985;0.080999851;0.080999851;0.065999985
Drag&Drop area;3.207999945;3.138000011;3.203999996;3.19900012;3.279999971;3.238999844
Close Image (CTRL + W);0.141000032;0.888000011;0.141000032;0.139999866;0.156000137;0.920000076
Click NON SALVARE;3.904999971;3.879999876;3.861999989;3.965000153;3.917000055;3.885999918
