action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.763999939;0.764000177;0.764999866;0.764999866;0.763999939
Click Language menu;0.735000134;0.764000177;0.748999834;0.78000021;0.764000177;0.779999971
"Click ""J"" Letter";0.761999846;0.796000004;0.796000004;0.794999838;0.796000004;0.796000004
"Click ""Java"" Option";1.574999809;0.81099987;1.607000113;0.796000004;1.590999842;0.811000109
Paste program text;0.119000196;0.124000072;0.140000105;0.125;0.141000032;0.141000032
Paste comment text;0.104000092;0.125;0.187999964;0.108999968;0.123999834;0.124000072
Paste author comment;0.113999844;0.125;0.124000072;0.125;0.125;0.125
Click OPEN FILE button;1.59100008;1.700000048;1.700999975;1.684999943;1.685000181;1.700999975
Paste path;0.040999889;0.062999964;0.062000036;0.062000036;0.061999798;0.062000036
Click OPEN button;2.43900013;2.339999914;2.371000051;2.325000048;2.465000153;2.371000051
CTRL + A;0.394999981;0.358999968;0.375;0.374000072;1.372999907;0.375
CTRL + C;0.059999943;0.092999935;0.092999935;0.093999863;0.094000101;0.092999935
CTRL + N;0.065999985;0.094000101;0.093999863;0.092999935;0.092999935;0.094000101
CTRL + V;1.731999874;2.371000051;1.778000116;1.747000217;0.312000036;1.763000011
CTRL + F;0.078000069;0.093999863;0.093999863;0.093999863;0.108999968;0.108999968
"Paste word ""before""";0.042000055;0.078000069;0.078000069;0.078000069;0.062999964;0.062000036
Click COUNT ALL button + wait result;1.450999975;1.482000113;1.46600008;1.465999842;1.450999975;1.467000008
Close Search ;1.733999968;1.761999846;1.747999907;1.763000011;1.762000084;1.761999846
Click Search button;0.734000206;0.779999971;0.779999971;0.78000021;0.779999971;0.779999971
Click MARK tab;1.444999933;1.248000145;0.764000177;0.764999866;0.796000004;1.264000177
"Paste word ""after""";0.041000128;0.062999964;0.061999798;0.062000036;0.062000036;0.061999798
Click MARK ALL button;1.522000074;1.529000044;1.576000214;1.529000044;1.559999943;1.560000181
Find tab + click tab;0.967999935;1.013999939;0.997999907;0.998000145;0.998000145;0.98300004
Right click;0.780999899;0.796000004;0.779999971;0.842999935;0.796000004;0.796000004
Type DOWN;0.0400002;0.062000036;0.063000202;0.062000036;0.062000036;0.062000036
Type DOWN;0.039999962;0.062999964;0.061999798;0.062000036;0.062999964;0.062999964
Type ENTER;0.040999889;0.062000036;0.063000202;0.062999964;0.062000036;0.062000036
Click NO;0.967333317;0.774666627;0.769333283;0.899666627;0.904999971;0.842333317
