action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.738999844;0.763999939;0.763999939;0.779999971;0.765000105
Click Language menu;0.735000134;0.737000227;0.764000177;0.749000072;0.764999866;0.779999971
"Click ""J"" Letter";0.761999846;0.762999773;0.795999765;0.796000004;0.795000076;0.795000076
"Click ""Java"" Option";1.574999809;1.489000082;1.482000113;0.81099987;1.482000113;0.796000004
Paste program text;0.119000196;0.127000093;0.125;0.125;0.123999834;0.141000032
Paste comment text;0.104000092;0.187999964;0.187000036;0.187000036;0.187999964;0.187000036
Paste author comment;0.113999844;0.120000124;0.125;0.125;0.124000072;0.125
Click OPEN FILE button;1.59100008;1.656999826;1.575999975;1.622999907;1.592000008;1.559999943
Paste path;0.040999889;0.041000128;0.061999798;0.062000036;0.062000036;0.078000069
Click OPEN button;2.43900013;2.197000027;2.09100008;2.121999979;2.089999914;2.089999914
CTRL + A;0.394999981;0.200000048;0.217999935;0.217999935;0.233999968;0.217999935
CTRL + C;0.059999943;0.063999891;0.094000101;0.094000101;0.094000101;0.094000101
CTRL + N;0.065999985;0.061000109;0.092999935;0.092999935;0.094000101;0.094000101
CTRL + V;1.731999874;1.656999826;1.623000145;1.810000181;0.56099987;1.559999943
CTRL + F;0.078000069;0.075999975;0.092999935;0.092999935;0.094000101;0.092999935
"Paste word ""before""";0.042000055;0.042000055;0.078000069;0.078000069;0.07799983;0.078000069
Click COUNT ALL button + wait result;1.450999975;1.542999983;1.467000008;1.497999907;1.451000214;1.497999907
Close Search ;1.733999968;1.741000175;1.761999846;1.763000011;1.761999846;1.730999947
Click Search button;0.734000206;0.734999895;0.779999971;0.763999939;0.779999971;0.78000021
Click MARK tab;1.444999933;1.467000008;0.765000105;1.263999939;0.779999971;0.764999866
"Paste word ""after""";0.041000128;0.040999889;0.062000036;0.062000036;0.063000202;0.062000036
Click MARK ALL button;1.522000074;1.78000021;1.779000044;1.763000011;1.746999979;1.746999979
Find tab + click tab;0.967999935;0.976000071;0.997999907;1.014000177;0.98300004;0.98300004
Right click;0.780999899;0.779999971;0.796000004;0.794999838;0.811000109;0.796000004
Type DOWN;0.0400002;0.039999962;0.062000036;0.063000202;0.062999964;0.062000036
Type DOWN;0.039999962;0.039999962;0.062000036;0.061999798;0.062000036;0.062999964
Type ENTER;0.040999889;0.039999962;0.062999964;0.062000036;0.062999964;0.062000036
Click NO;0.967333317;0.756000042;0.769666672;0.769666672;0.899666627;0.774666707
