action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  NEW FILE button;0.743000031;0.763999939;0.779999971;0.763999939;0.763999939;0.779999971
Click Language menu;0.735000134;0.779999971;0.779999971;0.779999971;0.763999939;0.78000021
"Click ""J"" Letter";0.761999846;0.796000004;0.796000004;0.796000004;0.796000004;0.795999765
"Click ""Java"" Option";1.574999809;18.579;18.17400002;18.6730001;18.81400013;18.50100017
Paste program text;0.119000196;0.139999866;0.141000032;0.140999794;0.140000105;0.139999866
Paste comment text;0.104000092;0.187000036;0.123999834;0.109000206;0.125;0.125
Paste author comment;0.113999844;0.203000069;0.125;0.139999866;0.125;0.203000069
Click OPEN FILE button;1.59100008;3.354000092;4.072000027;3.713000059;2.621000051;3.026000023
Paste path;0.040999889;0.07799983;0.062000036;0.062999964;0.062000036;0.062000036
Click OPEN button;2.43900013;2.480000019;2.434000015;2.619999886;2.433999777;2.152999878
CTRL + A;0.394999981;0.233999968;0.217999935;0.219000101;0.218000174;0.219000101
CTRL + C;0.059999943;0.094000101;0.094000101;0.092999935;0.093999863;0.092999935
CTRL + N;0.065999985;0.094000101;0.092999935;0.094000101;0.093000174;0.094000101
CTRL + V;1.731999874;1.886999846;2.434000015;1.809999943;1.825999975;1.481999874
CTRL + F;0.078000069;0.702000141;0.701999903;0.108999968;0.717000008;0.546000004
"Paste word ""before""";0.042000055;0.07799983;0.078000069;0.078000069;0.07799983;0.062000036
Click COUNT ALL button + wait result;1.450999975;1.498000145;1.482000113;1.482000113;1.482000113;1.482000113
Close Search ;1.733999968;1.777999878;1.746999979;1.730999947;1.746999979;1.763000011
Click Search button;0.734000206;0.779999971;0.779999971;0.779999971;0.779999971;0.779999971
Click MARK tab;1.444999933;1.482000113;1.497999907;1.450999975;1.467000008;1.497999907
"Paste word ""after""";0.041000128;0.062999964;0.062000036;0.062999964;0.062000036;0.062000036
Click MARK ALL button;1.522000074;3.930999994;4.462000132;4.398999929;4.445999861;4.398999929
Find tab + click tab;0.967999935;0.998000145;1.013999939;0.98300004;1.013999939;1.013999939
Right click;0.780999899;0.796000004;0.796000004;0.796000004;0.779999971;0.842999935
Type DOWN;0.0400002;0.062000036;0.062000036;0.062000036;0.062999964;0.062000036
Type DOWN;0.039999962;0.07799983;0.062999964;0.062999964;0.062000036;0.062000036
Type ENTER;0.040999889;0.063000202;0.062000036;0.092999935;0.062999964;0.062999964
Click NO;0.967333317;6.645666599;6.635333379;6.77033337;6.739000003;6.806666692
