action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.802999973;0.842000008;0.764000177;0.81099987;0.872999907
Click Language menu;0.735000134;0.735000134;0.779999971;0.796000004;0.796000004;0.827000141
"Click ""J"" Letter";0.761999846;0.769999981;0.779999971;0.81099987;0.811000109;0.81099987
"Click ""Java"" Option";1.574999809;0.77699995;0.812000036;0.85800004;0.796000004;0.81099987
Paste program text;0.119000196;0.177999973;0.155999899;0.155999899;0.141000032;0.139999866
Paste comment text;0.104000092;0.105999947;0.140000105;0.125;0.171000004;0.125
Paste author comment;0.113999844;0.169000149;0.155999899;0.171999931;0.265000105;0.125
Click OPEN FILE button;1.59100008;1.794000149;1.887000084;1.887000084;1.950000048;1.84100008
Paste path;0.040999889;0.044999838;0.078000069;0.078000069;0.07799983;0.155999899
Click OPEN button;2.43900013;2.967000008;3.073999882;3.213999987;1.436000109;3.072999954
CTRL + A;0.394999981;0.441000223;0.60800004;0.499000072;0.779999971;0.593000174
CTRL + C;0.059999943;0.105999947;0.187000036;0.186999798;0.124000072;0.155999899
CTRL + N;0.065999985;0.088999987;0.108999968;0.125;0.20299983;0.187000036
CTRL + V;1.731999874;0.523999929;0.701999903;2.387000084;0.468000174;0.342999935
CTRL + F;0.078000069;0.23300004;0.187999964;0.108999968;0.20299983;0.140000105
"Paste word ""before""";0.042000055;0.042000055;0.140000105;0.078000069;0.17200017;0.187999964
Click COUNT ALL button + wait result;1.450999975;1.753999949;1.71600008;1.66899991;1.66899991;1.54399991
Close Search ;1.733999968;2.05099988;1.965999842;2.262000084;1.980999947;2.121999979
Click Search button;0.734000206;0.761000156;0.779999971;0.779999971;0.811000109;0.795000076
Click MARK tab;1.444999933;0.763999939;0.85800004;1.513999939;0.796000004;0.85800004
"Paste word ""after""";0.041000128;0.039999962;0.140000105;0.093000174;0.125;0.094000101
Click MARK ALL button;1.522000074;1.875;2.200000048;1.934999943;2.136999846;1.746999979
Find tab + click tab;0.967999935;1.049999952;1.092000008;1.061000109;1.184999943;1.169999838
Right click;0.780999899;0.825999975;0.85800004;0.796000004;0.796000004;0.779999971
Type DOWN;0.0400002;0.825999975;0.078000069;0.07799983;0.140000105;0.078000069
Type DOWN;0.039999962;0.825999975;0.093999863;0.093000174;0.062999964;0.094000101
Type ENTER;0.040999889;0.049999952;0.108999968;0.07799983;0.062000036;0.062000036
Click NO;0.967333317;1.085333347;1.169999997;0.837333361;0.889333328;0.811333259
