action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;1.029000044;0.920000076;0.842000008;0.874000072;0.93599987
Click Language menu;0.735000134;0.967999935;0.874000072;0.904999971;0.795000076;0.796000004
"Click ""J"" Letter";0.761999846;0.93599987;0.93599987;0.98300004;0.85800004;1.014000177
"Click ""Java"" Option";1.574999809;24.86600018;29.99900007;30.71700001;27.64399981;31.54299998
Paste program text;0.119000196;0.201999903;0.375;0.373999834;0.296999931;0.29700017
Paste comment text;0.104000092;0.203000069;0.40500021;0.344000101;0.279999971;0.279999971
Paste author comment;0.113999844;0.375;0.25;0.404999971;0.25;0.32799983
Click OPEN FILE button;1.59100008;3.572000027;5.396999836;4.320999861;3.947000027;4.087000132
Paste path;0.040999889;0.203000069;0.375;0.17200017;0.108999968;0.312000036
Click OPEN button;2.43900013;4.243000031;4.039999962;6.863999844;6.36500001;7.30099988
CTRL + A;0.394999981;1.653999805;1.389000177;0.85800004;0.654999971;0.779999971
CTRL + C;0.059999943;0.561000109;0.825999975;0.281000137;0.280999899;0.343000174
CTRL + N;0.065999985;0.25;0.343999863;0.358999968;0.374000072;0.264999866
CTRL + V;1.731999874;1.434999943;1.170000076;1.575000048;1.263999939;1.545000076
CTRL + F;0.078000069;1.498000145;0.592000008;1.154999971;0.85800004;0.997999907
"Paste word ""before""";0.042000055;0.592000008;0.421999931;0.888999939;0.749000072;0.85800004
Click COUNT ALL button + wait result;1.450999975;2.309000015;2.558000088;1.325999975;1.122999907;1.295000076
Close Search ;1.733999968;2.870999813;2.339999914;2.57400012;2.106000185;2.542999983
Click Search button;0.734000206;0.998000145;0.904999971;1.075999975;0.904999971;1.075999975
Click MARK tab;1.444999933;2.292999983;1.746999979;0.951999903;0.950999975;0.999000072
"Paste word ""after""";0.041000128;0.093999863;0.063000202;0.951999903;0.155999899;0.264999866
Click MARK ALL button;1.522000074;5.850000143;5.552999973;7.113999844;5.367000103;7.019999981
Find tab + click tab;0.967999935;1.23300004;1.247999907;1.34100008;1.217000008;1.217000008
Right click;0.780999899;0.826999903;2.200000048;1.044999838;1.122999907;0.874000072
Type DOWN;0.0400002;0.171000004;0.124000072;0.125;0.092999935;0.171000004
Type DOWN;0.039999962;0.062999964;0.218999863;0.125;0.141000032;0.141000032
Type ENTER;0.040999889;0.404999971;0.218000174;0.562000036;0.576999903;0.546000004
Click NO;0.967333317;9.131333351;9.313333352;11.53333338;10.15566667;10.74300003
